,index,0,1,2,3,4,5,6
0,000,0.0,0.0,0.0,0.0,0.0,2.3693165191300682,0.0
1,01,0.07312989501212204,0.2617218655860921,0.0,0.0,0.0,0.7394197671147902,0.0
2,06,0.0,0.5300936486263348,0.0,0.445607095810403,0.0,0.14581959071731626,0.0
3,09,0.0,0.22662624592256855,0.3739240327167346,0.2228035479052015,0.0,0.07853605533084658,0.0
4,10,0.027833471594130226,3.7786304729291644,0.0,0.0,3.192558977985918,6.756892050277208,0.9563421308008428
5,100,0.0,3.1964872123622943,0.0,0.32169134964034596,4.267623606353835,7.037393006297594,0.0
6,1000,0.0,1.26368830195161,0.0,0.0,7.936566863667238,6.5897097612616875,2.2132525138372974
7,10000,0.0,1.0439826384975266,0.0,0.0,1.5951586084592417,0.916711397678216,2.1435836393230194
8,100000,0.0,0.12040532000601784,0.0,0.0,0.0,0.3586976670934845,0.0
9,1001,0.3579245076408881,0.0,0.0,0.0,0.0,0.09487839697354176,0.0
10,1022,0.3579245076408881,0.0,0.0,0.0,0.0,0.08230656983915531,0.0
11,103,0.0,0.23314670111338523,0.18859208503033534,0.0,0.0,0.30632272679266953,0.0
12,1099,0.0,0.3675846222567408,0.0,0.0,0.0,1.001692651840866,0.0
13,11,0.03303749865718236,0.5491104886030764,0.0,0.0,0.3795689947505582,3.7206846782657634,0.7973690241195655
14,110,0.0,0.6961909683114957,0.0,0.0,1.968899193910747,2.155277784844701,0.0
15,1100,0.0,1.517063941396288,0.16565764481101672,0.0,6.335193058840904,4.891274692176233,0.7314610858866641
16,11000,0.0,1.301112718960176,0.4988191390562972,0.0,2.5263073843093253,0.7111314199804777,2.5235124226117067
17,119,0.0,0.5313292836300323,0.0,0.0,0.0,0.0,0.0
18,12,0.2653273827207841,1.7839675668865982,0.0,0.11972898767029001,0.20040336347520266,3.8709653257950225,27.07697065015505
19,120,0.0,5.358462607979556,0.0,0.0,2.3575089469305537,3.889250683441288,0.0
20,1200,0.0,1.7060246894121638,0.4463336099358911,0.0,4.509681963727624,3.3161601657164823,0.8593577219396098
21,12000,0.0,0.9990490783743006,0.0,0.16566126391705865,1.4339143540850223,1.1957891723571783,1.6063254392778303
22,13,0.027741532082415175,0.572347773543354,0.0,0.0,0.0,0.8224019703854409,9.926434034477786
23,130,0.0,0.5260507785896265,0.0,0.1763532356518494,2.639723798780553,2.092093562162907,0.0
24,1300,0.0,0.9107537611138194,0.0,0.0,4.562586888638301,2.9614188115510043,0.25471123721108374
25,13000,0.0,1.1085767405573164,0.0,0.0,1.0813776228199807,0.5309434712097876,0.6991909251423886
26,14,0.0,0.5725610361692435,0.0,0.0,0.24922126988253976,2.0930503718106572,0.08513482882822118
27,140,0.0,0.3207462575983079,0.0,0.0,2.8309134987642564,2.2433700408557913,0.0
28,1400,0.0,0.5476897840152046,0.0,0.0,4.037926841565418,2.0535648997510485,0.8953933017962216
29,14000,0.0,0.5790183939347827,0.0,0.0,2.5889087207967583,0.7897254248396611,1.592596497129332
30,15,0.9351282273549961,1.5744580146246205,2.546649461506993,0.0,0.23557641556743458,8.3280860517412,8.316944579804039
31,150,0.0,1.512200674146221,0.0,0.0,1.2016623619955131,1.9911512092455428,0.22935205914413206
32,1500,0.0,1.1998543281574934,0.1158243021879377,0.0,1.9894361660193816,1.8665099083397239,0.3891457871286982
33,15000,0.0,1.4308667333607872,0.0,0.0,1.5625540671305818,1.7381072878992696,1.6875520407424958
34,150000,0.0,0.0,0.0,0.0,0.244133751840311,0.7552632432539835,0.4237234662647257
35,16,0.6499991417112974,0.4782274116035692,0.0,0.0,0.0,1.3844452810350039,0.1211520939938999
36,160,0.0,0.4829624389112653,0.0,0.0,2.380477824312063,1.6515352770561798,0.7608258562846668
37,1600,0.0,1.5281326224579042,0.0,0.0,1.837319114270953,1.883789337728254,1.1373692055487603
38,16000,0.0,0.4625344358751289,0.0,0.0,1.2734998452019313,1.0113766152788666,0.7075950421383149
39,1621,0.3579245076408881,0.0,0.0,0.0,0.0,0.09487839697354176,0.0
40,1666,0.0,0.0,0.0,0.0,0.0,0.08162551178628323,10.026933344088205
41,1666b,0.0,0.0,0.0,0.0,0.0,0.0,10.045410649795292
42,1681,0.3593982949830004,0.26004500864727254,0.296998928641939,0.0,0.10839694439471556,1.620427403667773,0.0
43,1681168l,0.36032745978095454,0.0,0.0,0.0,0.0,0.0,0.0
44,168123,0.0,0.0,0.0,0.0,0.0,0.3328705656654999,0.0
45,1681623,0.0,0.0,0.0,0.0,0.0,0.3328705656654999,0.0
46,1681a,1.3158684679252979,0.1391510696051332,0.0,0.0,0.0,0.19470916178710662,0.0
47,1681b,0.0,0.0,0.0,0.0,0.0,1.0484804975262363,0.0
48,1681c,0.5783044220957947,0.06849738203603804,0.816125040016456,0.0,0.0,1.4017791878272154,0.0
49,1681e,0.0,0.0,0.0,0.0,0.0,0.9661579676216706,0.0
50,1681et,0.36032745978095454,0.0,0.0,0.0,0.0,0.0,0.0
51,1681i,1.3547659763221624,0.0,2.3206513721519855,0.0,0.0,1.5489755834283554,0.0
52,1681s,0.1582171014127466,0.15121205490613335,0.0,0.0,0.0,0.4411647517520863,0.0
53,168ls2,0.36032745978095454,0.0,0.0,0.0,0.0,0.0,0.0
54,1692,0.0,0.2615728416632405,0.0,0.0,0.0,0.9410196231079127,0.0
55,1692e,0.0,0.19637615113762624,0.0,0.0,0.0,0.5822850950886846,0.0
56,1692g,0.0,0.09639761651065594,0.0,0.0,0.0,1.3066203577137208,0.0
