,term,sum_weights
1666,id,31.20572687734172
1860,law,31.026645037867336
2325,phone,30.893593253823393
701,car,30.769448608649565
3278,verify,30.73447190291
2785,saw,30.47987981301755
3225,updated,30.329288059212956
1202,documentation,30.27408807503763
2992,student,30.122724332762473
3373,wrong,29.87239008856454
1630,history,29.738524999412547
3141,transactions,29.728280666899522
998,creditors,29.65344790993221
3371,writing,29.164912630709928
1025,day,29.12500390161192
2534,receive,29.088159851016236
1113,dept,29.020763087857816
523,asked,28.92829136736735
2335,placed,28.68311493459346
1832,just,28.682837948167684
1797,investigate,28.48812210894493
756,charges,28.43336830517803
1814,issue,28.41923087781282
2820,send,28.26841747173361
1908,life,28.181847439956766
646,blocked,28.086673554053633
2955,status,27.796615194864472
3157,tried,27.76394598373653
2673,requested,27.68864596225219
748,chapter,27.49444258568485
2169,notified,27.478876062277607
1721,incomplete,27.475691800454065
2868,signed,27.457611883855115
1592,hard,27.438564880451565
3182,unauthorized,27.4217978152154
679,business,27.39375245231025
717,caused,27.33321567692454
3332,went,27.266444358612834
1241,ed,27.04456277925006
862,compromised,26.909844701463395
323,able,26.88626325805519
2460,provide,26.864467611806848
935,contract,26.859638139383552
2113,multiple,26.83066204978306
1667,idea,26.687860168479066
2213,old,26.649445175241922
1421,federal,26.463659557068222
761,check,26.35129258199842
2098,month,26.232522093336524
2861,shows,26.001044579536387
2317,person,25.76546250630716
2472,pull,25.7105216542773
2745,review,25.498407618268928
421,affidavit,25.47369273993095
1708,inaccuracies,25.368002302215963
2488,pursuant,25.296892283459478
810,collections,25.24752716662355
1019,data,25.2218572300338
504,approved,25.200929812925484
2973,stolen,25.16399370478616
3244,using,24.689668833573997
1543,getting,24.3893165275207
1006,current,24.32034662375859
893,consent,24.26641023167277
2100,months,23.966992251432906
3042,suspicious,23.89374089327676
1387,failed,23.8170730953809
1711,inaccurately,23.809508698874804
1554,goods,23.671395113683058
524,asking,23.598029829719447
1821,ive,23.545328979695867
3315,want,23.464260684885378
438,ago,23.4525518652437
1717,including,23.445758019835278
3267,vehicle,23.434621126925904
1449,financial,23.173399098988046
1670,identified,23.10549586180045
2257,owe,23.066881057193623
221,605b,23.051086726896227
854,compliance,22.918528339465457
3275,verification,22.796339012850638
487,appearing,22.79168459630446
620,believe,22.713361520441417
3224,update,22.695964869727508
920,contact,22.658313794683917
1748,informed,22.60415338025774
2753,right,22.46557148220818
1312,errors,22.389688854160873
496,apply,22.328156036718195
3116,today,22.31943602352995
867,concern,22.207320776746673
373,action,22.103703968428203
659,breach,22.078688957110423
2334,place,22.07823676544723
2094,money,22.017932319625483
451,alleged,21.997843619788654
30,15,21.936842750599272
3123,took,21.817797860467884
1883,legal,21.72756932936781
585,aware,21.314916207164927
1109,department,21.289917618191904
2176,numerous,21.224774454590555
357,accusations,21.13705712615562
1311,error,21.062084469230808
2941,standing,20.886934695005614
1380,fact,20.868067176706525
3385,year,20.768604776920064
2549,record,20.724555483339145
3037,sure,20.61768081662578
2609,related,20.530114057671316
2832,service,20.461558890492142
1916,limit,20.356039024792352
1496,fraudulently,20.323067655474873
1553,good,20.291480143761813
980,court,20.256487455809637
1531,gave,20.23530315050606
1212,dont,20.220038121040435
94,226,20.090821299590583
1201,document,20.047750696627432
1601,having,20.015188747914063
2131,needed,19.892648444223216
1260,email,19.867853420181373
1687,im,19.77639234246078
3294,violations,19.61231722675633
2866,signature,19.534493670161797
3092,thing,19.429130203239268
2950,stated,19.406423289915
1925,list,19.303605796878205
2157,notarized,19.20382309634458
762,checked,19.200399696453488
930,continue,19.148239032127
3081,thank,19.140683509509852
3134,trade,19.094149926391765
2525,reason,19.062812680625466
2186,obtain,19.046077210793186
571,auto,19.014291943723315
931,continued,18.893041551237353
783,claims,18.78556345687291
3050,taken,18.675808917519856
625,benefit,18.58053755221596
634,bills,18.440308213768397
1764,inquires,18.3699233049038
1744,info,18.355554292007977
3239,use,18.335759269496055
71,20,18.238294667330443
1145,different,18.2258373384597
6,1000,18.00321744071783
600,bankruptcies,17.993041034266163
1605,heard,17.88451161525889
3032,supporting,17.846278846715517
2677,required,17.67341854752467
700,capital,17.663869689250497
1446,finance,17.611458168216583
1014,damage,17.52176285288951
488,appears,17.491303025509943
2884,situation,17.437018443286362
2378,practices,17.411491829709426
1094,delinquent,17.36300779670802
522,ask,17.30362466026436
1921,line,17.293666515018735
2706,resolved,17.283943649574685
737,cfpb,17.281859070517736
1863,laws,17.25515979342595
718,causing,17.224004901682058
2421,process,17.21882171542177
1567,great,17.145542408836782
875,conduct,17.120429854674178
2118,names,17.107532063606094
1784,insurance,16.9969973822863
2315,permission,16.98415618412585
1857,later,16.971700087350193
1954,look,16.91938586357452
1715,included,16.83139141787817
3188,understand,16.75888454334647
354,accuracy,16.75119874210758
2754,rights,16.742240534938244
511,aren,16.670249486104968
703,cards,16.53596988159497
2769,run,16.479360898714656
2258,owed,16.438500261844528
566,authorization,16.332468774235963
1277,enclosed,16.186110848509074
1180,dismissed,16.14143299090646
3044,sworn,16.073178899807857
1397,falling,15.918881450475885
1142,didn,15.871735906322867
3180,unable,15.867941949774485
